Age,Gender,Income,Education_Level,Travel_Frequency,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Pets,Environmental_Concerns,Preference
32,male,106832,bachelor,3,2362,urban,298,258,0,0,0
25,non-binary,27088,doctorate,4,1396,urban,192,151,1,0,0
31,male,28582,bachelor,8,4858,rural,106,70,1,0,0
40,female,71245,bachelor,1,4552,urban,261,205,1,0,0
57,male,75306,master,5,1813,rural,109,210,1,1,1
38,non-binary,22063,master,6,3175,urban,215,182,1,0,0
33,female,27349,master,9,3477,rural,68,96,0,0,0
62,non-binary,111832,master,1,2519,urban,54,115,1,0,0
35,female,110659,master,9,780,urban,61,194,0,0,0
64,male,53842,master,9,3358,urban,240,251,0,1,0
41,non-binary,89781,doctorate,3,634,rural,20,162,1,1,0
43,female,119815,master,3,2646,suburban,244,235,1,0,0
42,female,98244,high school,5,3467,rural,254,96,1,0,0
62,female,62242,bachelor,1,2180,urban,7,114,0,0,1
58,female,60226,high school,8,1539,rural,284,201,0,0,0
46,male,86160,master,4,1046,urban,232,281,0,0,1
32,male,42309,doctorate,4,3959,rural,290,179,0,1,0
62,female,43913,bachelor,6,2341,rural,185,102,0,1,0
18,male,68694,master,5,2193,rural,171,4,0,0,0
42,male,26568,bachelor,9,2748,rural,91,59,0,1,0
24,female,40183,bachelor,3,1695,urban,283,187,1,0,0
26,male,33173,high school,5,3653,suburban,190,48,0,0,0
41,non-binary,110273,doctorate,1,3502,rural,271,284,1,0,0
18,non-binary,101890,bachelor,8,3135,rural,123,254,1,0,0
61,male,36906,doctorate,3,4740,urban,173,21,0,0,0
25,female,45806,high school,6,4595,suburban,129,171,0,1,0
41,non-binary,30509,master,8,1584,rural,33,157,1,1,0
28,male,23052,high school,6,1975,urban,1,232,0,1,1
68,male,60468,doctorate,2,3775,rural,167,130,1,1,0
34,female,62395,master,1,4945,suburban,17,69,0,0,1
25,female,60554,doctorate,5,610,suburban,56,52,1,1,0
52,male,88709,bachelor,2,1547,urban,133,270,1,1,1
52,female,52597,bachelor,5,892,urban,45,274,1,1,0
50,non-binary,23068,doctorate,6,1458,urban,80,57,0,1,0
22,non-binary,63579,bachelor,3,4052,rural,150,84,0,0,0
59,male,20545,high school,4,4831,urban,19,198,1,0,0
56,male,109152,doctorate,0,2217,suburban,170,17,1,0,0
58,female,31478,master,0,1554,suburban,240,90,0,0,0
45,non-binary,89599,doctorate,7,3119,suburban,286,200,0,0,0
24,female,77091,master,5,1804,urban,68,79,0,1,1
26,male,42888,doctorate,0,4518,suburban,156,249,1,1,1
25,male,71946,doctorate,4,2511,suburban,76,25,1,0,0
29,male,60005,doctorate,4,1015,rural,164,147,1,0,0
51,male,116079,bachelor,7,3363,rural,69,57,0,0,0
50,male,61993,doctorate,0,4317,urban,250,50,1,0,0
65,male,85314,master,0,1186,urban,213,108,0,0,0
40,female,24311,doctorate,0,1898,urban,1,151,0,0,0
41,female,100062,bachelor,6,1096,rural,249,124,0,0,0
54,female,109696,high school,3,1633,rural,222,280,0,0,1
52,non-binary,67322,bachelor,6,3563,suburban,212,73,1,1,0
61,female,119736,bachelor,9,3525,rural,259,198,0,1,0
57,male,33692,master,4,523,urban,151,78,1,1,0
39,female,54008,doctorate,6,2204,rural,52,231,0,1,0
44,female,54591,high school,4,690,suburban,15,27,1,0,1
52,non-binary,97929,high school,3,4067,urban,159,72,0,1,0
18,male,72377,high school,6,3443,rural,20,60,1,1,0
52,non-binary,96867,bachelor,5,2133,urban,223,47,0,1,0
54,non-binary,39912,master,3,2779,urban,289,223,0,0,0
64,non-binary,77242,high school,0,2005,suburban,263,220,0,1,0
31,female,109800,bachelor,6,2341,rural,8,216,0,1,0
20,male,111627,bachelor,7,1137,rural,43,239,1,1,1
18,male,82041,master,4,3688,suburban,161,265,0,0,0
22,non-binary,78378,bachelor,9,2993,urban,270,215,0,0,0
43,male,79828,doctorate,8,1767,suburban,158,109,1,0,0
31,male,46213,bachelor,7,4271,rural,74,237,0,0,1
56,non-binary,80191,master,1,3153,rural,251,68,1,1,0
44,female,59610,bachelor,6,3862,rural,287,197,0,1,0
26,non-binary,98054,bachelor,7,1925,urban,248,201,1,0,0
32,non-binary,67240,bachelor,3,3909,suburban,266,104,0,0,0
32,female,74794,high school,0,1415,urban,26,1,0,0,0
43,female,71600,doctorate,0,1120,urban,52,297,1,0,1
59,female,114047,high school,4,1141,suburban,260,143,0,0,0
30,female,55594,bachelor,7,1825,rural,191,203,1,1,1
68,non-binary,90200,bachelor,3,1358,suburban,264,226,0,1,0
49,female,37365,bachelor,0,3324,urban,5,230,1,1,1
56,male,104017,master,2,1055,suburban,35,55,0,1,1
66,non-binary,44569,doctorate,2,4418,urban,133,7,1,0,0
69,non-binary,88432,high school,8,4305,rural,266,10,1,1,0
49,female,55892,doctorate,3,771,suburban,95,265,1,0,1
21,female,73848,bachelor,3,951,rural,210,76,0,0,0
47,male,111899,master,3,2126,suburban,55,258,1,0,1
54,female,110319,doctorate,4,858,urban,113,58,0,1,0
40,non-binary,39168,master,6,2240,rural,10,237,0,1,0
56,female,41953,doctorate,3,1267,suburban,45,184,0,0,1
62,male,57034,bachelor,6,3044,suburban,25,276,0,1,0
32,non-binary,35142,high school,4,2776,rural,275,285,0,1,1
60,non-binary,74313,master,3,4741,urban,266,247,0,0,0
46,female,61675,doctorate,7,757,rural,81,296,1,1,0
53,male,72202,bachelor,7,4948,rural,52,180,0,1,0
30,male,98753,bachelor,8,2550,urban,43,144,1,0,1
49,female,102509,high school,3,1830,urban,85,111,1,1,1
24,non-binary,55720,doctorate,3,2883,rural,260,53,0,0,0
68,non-binary,45978,high school,6,3432,rural,234,62,0,1,0
39,non-binary,79101,doctorate,5,4475,urban,165,190,0,1,0
45,female,44060,bachelor,3,2747,rural,215,236,1,1,1
19,non-binary,109995,master,1,3426,urban,143,100,0,0,0
59,non-binary,22825,doctorate,1,1668,rural,235,92,1,0,0
62,female,20215,high school,3,3828,suburban,153,253,1,0,1
23,non-binary,31937,bachelor,5,1739,suburban,36,56,0,0,1
45,female,20587,high school,5,3687,suburban,194,201,1,0,1
45,male,22585,master,9,3295,rural,285,141,1,1,0
61,male,87551,high school,5,3538,suburban,201,237,0,1,0
61,female,82162,master,9,1726,urban,155,189,0,0,0
37,female,118231,master,0,2863,suburban,49,285,0,1,1
47,female,93527,bachelor,4,1730,rural,84,274,0,1,1
28,non-binary,39413,bachelor,4,2091,urban,159,12,1,1,0
45,non-binary,90703,master,9,4073,suburban,23,56,0,0,1
42,female,22112,bachelor,6,2131,urban,87,242,1,0,1
56,female,83980,master,7,964,rural,44,66,1,0,0
50,non-binary,47366,bachelor,7,2881,rural,295,58,0,1,0
18,non-binary,64532,master,8,1742,rural,6,168,0,0,0
44,female,109460,master,6,3363,suburban,196,244,1,0,0
69,non-binary,56587,bachelor,7,2178,urban,193,110,1,1,0
30,non-binary,109854,doctorate,7,3066,rural,108,196,0,0,1
58,male,95401,bachelor,3,4482,rural,295,158,0,1,0
20,female,105122,bachelor,3,3667,suburban,161,278,0,0,1
56,female,94267,high school,6,1295,rural,8,227,1,1,0
23,non-binary,86900,bachelor,1,2659,rural,6,167,1,0,0
25,male,74794,master,9,1348,rural,190,134,0,0,0
44,female,66295,doctorate,6,853,rural,246,283,1,1,0
26,female,61995,bachelor,8,741,suburban,37,149,0,0,0
54,non-binary,84518,master,5,1667,suburban,80,167,1,1,1
50,female,25801,bachelor,0,2323,suburban,123,38,1,0,0
68,non-binary,39295,master,6,3463,suburban,265,287,0,1,1
59,male,86364,master,1,1839,suburban,115,145,1,1,0
61,male,55225,doctorate,6,4179,suburban,260,74,1,1,0
41,female,63868,high school,8,2479,rural,182,159,1,1,0
32,non-binary,78202,doctorate,2,4208,suburban,220,92,1,0,0
49,male,55507,doctorate,4,3271,urban,240,268,1,0,0
49,female,67561,high school,7,4218,suburban,206,182,1,0,0
41,female,102819,master,1,2078,suburban,148,19,1,0,0
58,female,58037,master,8,4913,urban,104,157,0,0,1
69,non-binary,46889,master,8,772,rural,277,26,0,1,0
66,non-binary,92579,bachelor,5,3671,rural,64,53,0,0,0
66,male,110758,bachelor,2,797,suburban,84,261,1,0,1
69,non-binary,75486,bachelor,7,3417,suburban,203,7,0,0,0
29,non-binary,41745,doctorate,5,3780,suburban,47,162,1,1,0
56,female,86754,master,3,1908,suburban,207,272,0,0,1
19,female,61047,master,0,1304,suburban,290,295,1,1,0
20,male,39822,bachelor,8,1305,rural,83,253,1,1,1
66,female,99332,doctorate,7,1347,urban,98,243,1,1,0
54,female,112061,doctorate,9,3810,rural,84,185,1,0,0
66,female,69512,high school,7,1734,urban,208,227,1,1,0
34,non-binary,69267,doctorate,1,2120,rural,243,18,1,0,0
66,female,39887,high school,2,4211,rural,111,68,1,1,0
19,male,51682,doctorate,3,3530,suburban,174,286,0,0,1
19,male,82926,high school,1,4031,rural,68,216,0,0,1
45,female,69631,doctorate,1,2738,urban,44,261,0,1,0
40,female,39879,high school,7,3135,rural,224,262,0,0,1
54,male,50449,high school,3,2329,rural,4,144,1,1,0
49,non-binary,101279,doctorate,4,4592,suburban,268,44,0,0,0
50,female,41717,high school,2,3557,urban,123,141,1,0,0
18,male,45571,doctorate,0,4954,rural,60,116,0,0,0
36,non-binary,40191,high school,4,2617,rural,67,165,1,0,0
19,male,40154,high school,7,3367,urban,265,103,0,0,0
61,non-binary,68964,bachelor,6,2775,urban,32,133,1,0,1
43,male,78489,master,0,4063,suburban,49,191,1,0,1
49,male,97736,bachelor,2,4929,suburban,147,173,1,1,1
23,non-binary,83471,master,6,2400,suburban,122,178,1,0,1
49,female,57571,doctorate,0,3142,rural,271,164,1,0,0
21,male,57807,master,9,1349,rural,10,266,0,1,1
28,female,88284,master,0,4229,urban,147,124,1,1,0
34,male,96036,high school,6,3099,rural,138,3,1,1,0
55,non-binary,85542,master,7,2970,rural,79,45,0,0,0
41,female,71077,doctorate,4,2505,suburban,144,59,1,1,0
22,non-binary,99794,doctorate,8,2543,suburban,97,143,1,1,0
69,non-binary,36336,bachelor,7,2112,rural,215,269,0,0,0
51,female,22075,master,7,563,urban,48,146,1,0,0
23,female,90456,doctorate,4,3979,rural,110,7,1,0,0
39,female,81861,doctorate,2,3624,urban,198,89,0,1,0
28,non-binary,119026,bachelor,9,2842,rural,61,217,0,0,0
65,non-binary,34896,bachelor,7,1303,urban,118,279,1,0,0
33,non-binary,32779,bachelor,7,4021,rural,56,152,0,1,1
50,female,38187,high school,1,2962,urban,287,232,0,0,0
26,male,83148,high school,9,4100,suburban,148,187,0,1,1
23,female,72581,high school,1,1876,rural,102,264,0,1,1
33,male,96498,bachelor,6,555,rural,80,121,0,0,0
46,non-binary,56320,doctorate,6,4482,urban,27,242,0,0,0
20,male,48972,bachelor,0,3606,rural,78,99,1,1,1
37,female,56228,bachelor,8,1331,suburban,161,200,0,0,0
53,female,108994,doctorate,3,1390,urban,123,46,0,0,0
36,female,57026,bachelor,8,4434,rural,267,284,0,1,1
43,male,48526,bachelor,5,1817,urban,170,231,1,1,0
20,female,90766,bachelor,5,4865,urban,205,172,1,1,0
36,male,104638,bachelor,9,2659,urban,291,4,0,1,0
37,non-binary,86805,high school,7,2403,rural,261,103,0,1,0
49,male,42307,doctorate,7,2527,urban,273,159,1,0,0
24,non-binary,28615,master,4,3445,rural,223,186,1,1,0
69,male,108487,bachelor,7,2535,suburban,72,124,0,0,1
58,non-binary,88284,high school,5,1644,rural,51,52,1,1,1
50,female,60182,high school,0,2583,rural,268,161,0,1,0
57,male,73969,doctorate,4,4006,urban,29,35,1,0,0
56,non-binary,104699,doctorate,6,4811,suburban,176,206,1,0,1
35,female,101676,bachelor,3,3436,suburban,275,14,0,0,0
57,female,65469,high school,9,4275,suburban,6,84,1,0,0
18,non-binary,36935,bachelor,9,2390,urban,261,71,0,0,0
28,non-binary,102832,doctorate,7,2719,suburban,243,242,0,1,0
45,male,114280,master,7,4930,rural,149,294,0,0,1
42,non-binary,70534,high school,9,3579,rural,153,85,0,1,0
67,non-binary,44981,high school,7,4333,suburban,43,182,1,0,0
40,female,109655,master,7,4387,urban,76,235,1,1,0
48,non-binary,108893,master,7,4977,rural,176,186,1,0,0
47,non-binary,102574,master,7,1732,urban,189,191,1,0,1
59,non-binary,62359,doctorate,2,3429,suburban,152,3,0,1,0
52,female,103509,doctorate,0,4955,rural,98,232,1,0,0
24,female,116911,high school,9,3853,urban,162,1,0,1,0
33,female,29939,doctorate,0,2618,urban,262,236,1,1,0
43,female,24056,master,7,2173,urban,146,82,0,1,0
65,male,79111,doctorate,2,4808,urban,242,91,0,1,0
69,female,81847,bachelor,6,4495,urban,288,97,0,1,0
66,female,82031,bachelor,9,2818,rural,214,170,0,1,0
19,male,113042,high school,3,1763,urban,7,98,1,1,1
18,male,47343,bachelor,5,1784,rural,208,233,1,1,1
65,male,85401,doctorate,6,3105,rural,242,10,1,0,0
29,non-binary,58296,master,0,1985,urban,140,38,0,1,0
22,female,33438,bachelor,0,4386,suburban,186,177,1,0,0
54,non-binary,94669,doctorate,7,4522,suburban,266,230,0,0,0
49,male,81295,master,6,509,suburban,287,2,1,1,0
26,male,46496,high school,2,3378,rural,0,249,0,1,1
58,male,47057,master,9,1593,urban,220,129,1,0,0
52,male,49818,bachelor,7,714,urban,211,12,1,0,0
36,non-binary,105169,master,9,2445,suburban,225,56,0,0,0
65,male,77248,high school,2,1579,rural,149,252,0,0,0
33,female,40208,master,1,4273,rural,258,73,0,1,0
20,female,119443,doctorate,1,1093,rural,170,183,1,1,1
37,female,88422,bachelor,6,4188,rural,29,58,0,0,0
41,non-binary,38149,high school,2,1180,rural,265,78,0,0,0
50,male,27835,bachelor,0,4291,suburban,164,111,0,0,0
41,non-binary,29375,doctorate,5,3595,rural,154,113,1,0,0
69,female,105511,bachelor,8,1067,suburban,259,264,0,1,1
28,male,51531,bachelor,3,3702,rural,234,251,1,1,1
66,non-binary,56959,master,8,3817,urban,51,113,0,1,1
25,male,74395,bachelor,0,4777,urban,246,295,0,0,1
53,male,115087,doctorate,2,2335,suburban,131,150,1,0,0
55,non-binary,60642,doctorate,7,1190,rural,205,276,1,0,0
57,female,72870,doctorate,7,781,rural,21,190,0,0,1
37,non-binary,58021,high school,5,4747,rural,251,4,1,1,0
52,non-binary,22524,high school,5,2474,rural,215,17,1,0,0
65,female,87756,doctorate,5,4661,rural,149,98,0,1,0
42,non-binary,66778,bachelor,9,4829,suburban,146,271,0,0,1
52,male,110426,master,5,3127,suburban,126,58,0,0,0
42,female,114040,master,2,2593,rural,52,98,1,0,1
46,non-binary,91460,high school,1,1873,suburban,293,97,1,0,0
35,male,41585,master,4,3917,suburban,80,260,1,1,1
63,female,42467,doctorate,5,2634,suburban,45,219,1,1,1
35,non-binary,75286,high school,2,2461,rural,252,157,1,0,0
19,female,48224,bachelor,7,1656,urban,18,169,1,1,0
52,male,117632,bachelor,6,1428,rural,108,255,0,0,0
33,male,42427,master,3,501,urban,270,167,1,1,0
58,female,25970,high school,0,1400,suburban,246,248,1,1,0
53,male,88704,high school,7,1756,urban,231,161,1,1,0
50,male,31022,high school,0,3307,urban,232,67,1,0,0
21,female,107276,high school,4,4517,rural,219,106,1,1,0
50,female,22390,master,4,4875,urban,146,118,1,0,0
31,non-binary,79046,high school,6,3081,rural,175,260,1,1,1
38,non-binary,118765,doctorate,1,4802,suburban,228,7,0,0,0
65,female,104300,high school,4,2950,rural,104,50,0,1,0
37,male,33287,high school,7,1888,suburban,251,214,1,0,0
25,male,43835,high school,4,1098,urban,186,244,0,0,1
24,female,109502,bachelor,9,2130,suburban,214,178,0,1,0
20,female,41131,bachelor,4,1510,rural,250,123,0,1,0
34,female,87852,high school,4,636,urban,85,36,1,0,0
50,male,81954,doctorate,9,2729,urban,77,161,0,0,0
65,non-binary,100446,bachelor,7,4025,suburban,21,58,0,0,1
29,non-binary,35423,master,6,1346,urban,84,278,0,0,1
68,male,109419,high school,3,3044,rural,134,153,0,1,1
39,non-binary,52596,doctorate,7,4503,suburban,51,161,1,1,1
39,female,72349,doctorate,2,4368,urban,136,70,0,1,0
63,female,50529,master,9,3595,urban,178,217,1,0,1
47,male,45951,master,5,2352,rural,35,244,1,1,1
55,male,52712,doctorate,3,2400,urban,155,171,1,1,0
55,female,60592,bachelor,1,2579,urban,232,177,1,0,0
62,female,80536,bachelor,0,4735,suburban,58,201,1,0,0
68,male,30295,doctorate,8,1706,suburban,265,293,1,1,0
25,male,42641,bachelor,3,2380,suburban,296,28,0,0,0
44,female,102642,high school,8,689,suburban,245,151,1,1,0
44,female,104486,master,6,3154,rural,293,148,1,0,0
51,non-binary,39363,master,0,4395,urban,113,281,0,0,0
38,non-binary,43847,bachelor,9,2053,rural,220,8,1,0,0
47,female,21193,bachelor,4,1698,urban,297,125,0,0,0
50,male,40643,high school,5,910,urban,252,289,1,1,0
45,non-binary,76176,high school,7,2423,rural,292,59,0,0,0
64,non-binary,58694,doctorate,5,2259,suburban,144,213,0,1,1
50,female,73112,bachelor,7,2627,rural,27,259,1,1,0
22,male,106767,bachelor,0,1951,urban,198,175,1,0,0
65,male,58615,bachelor,2,3257,urban,208,91,0,0,0
36,female,113769,master,0,1635,urban,76,9,0,1,0
21,male,22890,high school,8,2302,suburban,17,69,0,1,0
52,female,114053,master,4,3574,suburban,222,66,1,0,0
66,male,71029,bachelor,2,1380,rural,296,228,1,0,0
34,female,35159,doctorate,1,1033,urban,11,14,1,0,1
61,male,34750,high school,6,3015,urban,14,33,0,1,1
45,female,35616,bachelor,1,886,rural,11,251,0,0,0
47,female,102866,master,2,4404,rural,253,299,1,0,1
46,male,77535,high school,5,2840,rural,33,230,0,1,0
63,female,60172,high school,3,2852,suburban,8,70,1,1,1
23,non-binary,81136,bachelor,7,2194,suburban,148,195,0,1,1
52,male,49023,doctorate,6,3524,urban,239,266,1,1,0
58,female,36244,bachelor,6,3763,suburban,5,297,1,0,0
54,male,52515,master,2,3177,suburban,89,262,1,0,1
41,male,80154,master,7,2324,rural,243,135,0,0,0
46,female,119374,master,7,770,urban,152,298,1,1,1
66,non-binary,108412,doctorate,7,2262,suburban,286,93,0,1,0
63,male,22857,high school,3,1661,urban,53,161,0,1,0
48,non-binary,90606,bachelor,2,1572,rural,58,43,1,1,0
52,non-binary,118456,high school,2,1379,rural,201,98,0,1,0
50,female,119954,high school,2,3023,urban,45,210,0,1,1
69,female,105890,high school,4,4755,urban,279,37,1,0,0
38,male,119634,high school,4,2855,urban,225,240,0,0,0
49,female,67371,doctorate,8,4279,urban,13,16,1,0,0
40,male,82375,master,0,3694,rural,127,207,1,0,1
50,male,115519,master,0,3113,urban,35,191,1,0,1
20,non-binary,46929,doctorate,4,2382,urban,232,228,0,1,0
35,female,47715,doctorate,1,1528,rural,128,161,1,0,0
42,female,118588,bachelor,5,4029,rural,204,100,0,1,0
59,male,38974,doctorate,2,2333,suburban,275,283,1,1,0
48,non-binary,91135,bachelor,3,1548,rural,225,221,0,1,0
20,female,48695,bachelor,3,3976,suburban,26,63,0,1,1
57,non-binary,64042,doctorate,5,4187,suburban,265,284,0,1,1
63,non-binary,26782,master,4,4142,suburban,277,283,1,0,1
41,male,47933,doctorate,9,4214,urban,218,290,0,0,0
67,female,47632,high school,1,4018,urban,239,189,1,0,0
49,female,106802,high school,3,2828,suburban,110,281,1,0,0
64,female,98597,high school,4,1788,suburban,118,35,1,0,0
39,non-binary,75425,bachelor,4,3638,urban,101,57,1,0,0
40,female,57606,bachelor,9,4534,suburban,229,165,1,0,0
19,male,91442,high school,1,643,suburban,66,65,1,1,0
44,non-binary,110351,high school,0,1174,suburban,152,253,0,0,0
59,female,27719,doctorate,6,3098,suburban,50,118,1,1,0
19,non-binary,44721,doctorate,2,4114,rural,41,193,0,1,1
43,non-binary,29507,doctorate,4,1599,suburban,238,71,0,1,0
34,non-binary,50007,doctorate,8,3629,urban,296,247,1,1,0
57,male,69459,bachelor,1,4287,rural,57,158,0,1,1
50,female,77141,master,7,4041,urban,118,134,1,1,1
26,female,70036,doctorate,4,4331,rural,241,258,0,0,0
60,non-binary,27797,bachelor,6,4615,urban,139,249,1,0,1
65,female,94353,bachelor,6,3646,urban,274,203,0,0,0
56,non-binary,79923,doctorate,3,1153,rural,230,169,0,1,0
46,non-binary,112388,high school,6,3596,rural,188,141,1,1,0
59,non-binary,76101,high school,5,1361,rural,214,288,0,0,0
43,male,74291,high school,8,4273,urban,252,156,1,1,0
52,female,104227,bachelor,9,4590,urban,246,223,0,1,0
67,non-binary,92688,high school,3,4649,rural,223,171,0,1,0
42,female,98437,bachelor,5,4435,rural,93,208,1,1,0
41,male,71396,master,3,3895,suburban,10,214,0,1,1
30,male,57253,doctorate,8,4906,suburban,118,203,1,0,1
24,non-binary,78046,bachelor,9,916,suburban,295,46,1,1,0
53,male,77689,high school,0,2326,rural,277,135,1,0,0
62,male,112800,doctorate,1,3188,rural,111,110,0,0,0
37,male,60063,high school,7,2204,urban,20,64,1,1,1
18,male,91793,master,4,1745,suburban,227,271,0,1,0
25,male,55774,high school,5,3092,suburban,215,264,1,1,0
63,male,105198,doctorate,5,4761,suburban,236,5,1,0,0
33,female,22895,high school,0,4644,rural,183,156,0,0,0
31,male,44406,master,6,3203,rural,152,222,1,0,0
29,female,51848,doctorate,1,3631,urban,261,77,1,0,0
68,non-binary,76021,master,6,2554,suburban,60,231,0,1,0
40,male,69077,doctorate,9,1782,rural,80,79,0,0,0
32,male,102628,bachelor,4,1009,rural,263,293,1,0,0
45,female,119498,doctorate,3,4178,suburban,286,141,1,0,0
51,male,36644,high school,8,3178,rural,247,4,1,1,0
19,female,64809,doctorate,8,4519,suburban,153,265,0,1,0
49,female,112021,high school,5,3702,suburban,93,111,0,0,0
40,male,105155,doctorate,0,2357,suburban,130,223,0,0,0
39,non-binary,45250,master,0,1776,suburban,288,160,0,1,0
68,non-binary,78670,high school,9,2356,suburban,281,67,1,1,0
42,non-binary,76207,high school,1,1346,rural,106,146,1,1,0
39,female,50884,high school,1,4077,urban,226,220,1,1,0
39,female,110025,high school,9,3464,rural,292,35,1,1,0
66,male,103183,bachelor,7,3907,rural,143,279,0,0,0
69,female,51271,master,2,2696,suburban,210,103,1,0,0
59,non-binary,99375,high school,0,3747,rural,271,221,0,1,0
23,male,118500,doctorate,5,1891,rural,274,49,1,1,0
32,non-binary,119594,high school,7,3077,urban,33,201,1,1,0
60,male,86610,high school,5,807,suburban,38,185,0,1,0
54,non-binary,43919,master,3,4344,suburban,270,105,1,0,0
50,male,105357,master,8,2166,rural,230,213,1,1,0
